,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,treac
67,13AP4,10,7.5,,,,,,0.17595190380761522,,1.5194804031712278e-09,,,,1.2613113887298295e-09,3,4,,0,1.5194804031712278e-09,0.10599999999999998
68,16AP1,20,7.5,,,,,,0.10180360721442885,,1.1263209570009666e-09,,,,1.3654073231909433e-09,3,4,,0,1.1263209570009666e-09,0.015999999999999986
69,16AP1,40,7.5,,,,,,0.10180360721442885,,1.1263209570009666e-09,,,,1.3654073231909433e-09,3,4,,0,1.1263209570009666e-09,0.0020000000000000018
70,16AP1,10,7.5,,,,,,0.10180360721442885,,1.1263209570009666e-09,,,,1.3654073231909433e-09,3,4,,0,1.1263209570009666e-09,0.019999999999999962
71,16AP1,5,7.5,,,,,,0.10180360721442885,,1.1263209570009666e-09,,,,1.3654073231909433e-09,3,4,,0,1.1263209570009666e-09,19.198
72,16AP4,10,7.5,,,,,,0.10581162324649299,,3.0794273441240104e-09,,,,3.3918313097918186e-09,3,4,,0,3.0794273441240104e-09,19.598000000000003
73,16AP4,20,7.5,,,,,,0.10581162324649299,,3.0794273441240104e-09,,,,3.3918313097918186e-09,3,4,,0,3.0794273441240104e-09,0.04799999999999999
74,16AP4,5,7.5,,,,,,0.10581162324649299,,3.0794273441240104e-09,,,,3.3918313097918186e-09,3,4,,0,3.0794273441240104e-09,0.08599999999999997
75,16AP4,40,7.5,,,,,,0.10581162324649299,,3.0794273441240104e-09,,,,3.3918313097918186e-09,3,4,,0,3.0794273441240104e-09,0.0059999999999999915
76,17AP1,10,7.5,,,,,,0.01843687374749499,,0.0,,,,3.274710438705756e-08,1,4,,0,0.0,19.598000000000003
77,17AP1,40,7.5,,,,,,0.01843687374749499,,0.0,,,,3.274710438705756e-08,1,4,,0,0.0,0.018000000000000002
78,17AP1,5,7.5,,,,,,0.01843687374749499,,0.0,,,,3.274710438705756e-08,1,4,,0,0.0,19.198
79,17AP1,20,7.5,,,,,,0.01843687374749499,,0.0,,,,3.274710438705756e-08,1,4,,0,0.0,19.798000000000002
80,18AP1,40,7.5,,,,,,0.10981963927855712,,1.0419251002827304e-09,,,,1.1227714621252407e-09,3,4,,0,1.0419251002827304e-09,0.009999999999999995
81,18AP1,5,7.5,,,,,,0.10981963927855712,,1.0419251002827304e-09,,,,1.1227714621252407e-09,3,4,,0,1.0419251002827304e-09,19.198
82,18AP1,10,7.5,,,,,,0.10981963927855712,,1.0419251002827304e-09,,,,1.1227714621252407e-09,3,4,,0,1.0419251002827304e-09,0.021999999999999964
83,18AP1,20,7.5,,,,,,0.10981963927855712,,1.0419251002827304e-09,,,,1.1227714621252407e-09,3,4,,0,1.0419251002827304e-09,0.0040000000000000036
84,18AP3,5,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.198
85,18AP3,40,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.898
86,18AP3,20,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.798000000000002
87,18AP3,10,7.5,,,,,,0.2,,,,,,,0,4,,0,,19.598000000000003
88,22M1,10,7.5,,,,,,0.10821643286573146,,4.790927005294022e-10,,,,7.013659458710342e-10,2,4,,0,4.790927005294022e-10,19.598000000000003
89,22M1,40,7.5,,,,,,0.10821643286573146,,4.790927005294022e-10,,,,7.013659458710342e-10,2,4,,0,4.790927005294022e-10,0.013999999999999999
90,22M1,20,7.5,,,,,,0.10821643286573146,,4.790927005294022e-10,,,,7.013659458710342e-10,2,4,,0,4.790927005294022e-10,0.017999999999999988
91,22M1,5,7.5,,,,,,0.10821643286573146,,4.790927005294022e-10,,,,7.013659458710342e-10,2,4,,0,4.790927005294022e-10,19.198
92,1AP2,10,15.0,,,,,,0.09619238476953908,,2.4746670263159943e-09,,,,4.184911472773043e-09,4,4,,0,2.4746670263159943e-09,0.0040000000000000036
93,1AP2,40,15.0,,,,,,0.09619238476953908,,2.4746670263159943e-09,,,,4.184911472773043e-09,4,4,,0,2.4746670263159943e-09,0.0020000000000000018
94,1AP2,20,15.0,,,,,,0.09619238476953908,,2.4746670263159943e-09,,,,4.184911472773043e-09,4,4,,0,2.4746670263159943e-09,-0.032
95,1AP2,5,15.0,,,,,,0.09619238476953908,,2.4746670263159943e-09,,,,4.184911472773043e-09,4,4,,0,2.4746670263159943e-09,-0.01200000000000001
96,2AP5,20,15.0,,,,,,0.08897795591182364,,2.595971235896809e-09,,,,5.71572298029465e-09,4,4,,0,2.595971235896809e-09,0.009999999999999981
97,2AP5,40,15.0,,,,,,0.08897795591182364,,2.595971235896809e-09,,,,5.71572298029465e-09,4,4,,0,2.595971235896809e-09,-0.0020000000000000018
98,2AP5,5,15.0,,,,,,0.08897795591182364,,2.595971235896809e-09,,,,5.71572298029465e-09,4,4,,0,2.595971235896809e-09,0.008000000000000007
99,2AP5,10,15.0,,,,,,0.08897795591182364,,2.595971235896809e-09,,,,5.71572298029465e-09,4,4,,0,2.595971235896809e-09,0.006000000000000005
100,3AP3,5,15.0,,,,,,0.04248496993987976,,3.3737202911581075e-09,,,,1.4262742897380543e-08,4,4,,0,3.3737202911581075e-09,0.041999999999999926
101,3AP3,10,15.0,,,,,,0.04248496993987976,,3.3737202911581075e-09,,,,1.4262742897380543e-08,4,4,,0,3.3737202911581075e-09,0.008000000000000007
102,3AP3,20,15.0,,,,,,0.04248496993987976,,3.3737202911581075e-09,,,,1.4262742897380543e-08,4,4,,0,3.3737202911581075e-09,0.008000000000000007
103,3AP3,40,15.0,,,,,,0.04248496993987976,,3.3737202911581075e-09,,,,1.4262742897380543e-08,4,4,,0,3.3737202911581075e-09,0.0
104,4M1,10,15.0,,,,,,0.10100200400801604,,2.2667901909156083e-09,,,,4.973171342137617e-09,4,4,,0,2.2667901909156083e-09,0.014000000000000012
105,4M1,20,15.0,,,,,,0.10100200400801604,,2.2667901909156083e-09,,,,4.973171342137617e-09,4,4,,0,2.2667901909156083e-09,0.009999999999999981
106,4M1,5,15.0,,,,,,0.10100200400801604,,2.2667901909156083e-09,,,,4.973171342137617e-09,4,4,,0,2.2667901909156083e-09,-0.0020000000000000018
107,4M1,40,15.0,,,,,,0.10100200400801604,,2.2667901909156083e-09,,,,4.973171342137617e-09,4,4,,0,2.2667901909156083e-09,0.009999999999999995
108,4M2,10,15.0,,,,,,0.08537074148296593,,3.119529249942337e-09,,,,6.2439614243141854e-09,4,4,,0,3.119529249942337e-09,0.01799999999999996
109,4M2,40,15.0,,,,,,0.08537074148296593,,3.119529249942337e-09,,,,6.2439614243141854e-09,4,4,,0,3.119529249942337e-09,-0.010000000000000009
110,4M2,5,15.0,,,,,,0.08537074148296593,,3.119529249942337e-09,,,,6.2439614243141854e-09,4,4,,0,3.119529249942337e-09,0.0
111,4M2,20,15.0,,,,,,0.08537074148296593,,3.119529249942337e-09,,,,6.2439614243141854e-09,4,4,,0,3.119529249942337e-09,0.013999999999999985
112,6AP1,40,15.0,,,,,,0.06292585170340681,,1.5525779400581696e-09,,,,1.0388958713902034e-08,4,4,,0,1.5525779400581696e-09,0.01999999999999999
113,6AP1,20,15.0,,,,,,0.06292585170340681,,1.5525779400581696e-09,,,,1.0388958713902034e-08,4,4,,0,1.5525779400581696e-09,0.015999999999999986
114,6AP1,10,15.0,,,,,,0.06292585170340681,,1.5525779400581696e-09,,,,1.0388958713902034e-08,4,4,,0,1.5525779400581696e-09,0.01200000000000001
115,6AP1,5,15.0,,,,,,0.06292585170340681,,1.5525779400581696e-09,,,,1.0388958713902034e-08,4,4,,0,1.5525779400581696e-09,0.0
116,7AP2,40,15.0,,,,,,0.10541082164328658,,3.7147760480419785e-09,,,,5.923078847792197e-09,4,4,,0,3.7147760480419785e-09,0.009999999999999995
117,7AP2,10,15.0,,,,,,0.10541082164328658,,3.7147760480419785e-09,,,,5.923078847792197e-09,4,4,,0,3.7147760480419785e-09,0.043999999999999984
118,7AP2,5,15.0,,,,,,0.10541082164328658,,3.7147760480419785e-09,,,,5.923078847792197e-09,4,4,,0,3.7147760480419785e-09,0.03200000000000003
119,7AP2,20,15.0,,,,,,0.10541082164328658,,3.7147760480419785e-09,,,,5.923078847792197e-09,4,4,,0,3.7147760480419785e-09,0.0040000000000000036
120,7AP5,5,15.0,,,,,,0.10380761523046092,,2.046482526420207e-09,,,,4.896447427420476e-09,4,4,,0,2.046482526420207e-09,0.008000000000000007
121,7AP5,10,15.0,,,,,,0.10380761523046092,,2.046482526420207e-09,,,,4.896447427420476e-09,4,4,,0,2.046482526420207e-09,-0.008000000000000007
122,7AP5,40,15.0,,,,,,0.10380761523046092,,2.046482526420207e-09,,,,4.896447427420476e-09,4,4,,0,2.046482526420207e-09,0.013999999999999999
123,7AP5,20,15.0,,,,,,0.10380761523046092,,2.046482526420207e-09,,,,4.896447427420476e-09,4,4,,0,2.046482526420207e-09,0.023999999999999994
124,8AP3,20,15.0,,,,,,0.04849699398797595,,3.703854467592071e-09,,,,1.1509220337408768e-08,3,4,,0,3.703854467592071e-09,-0.0040000000000000036
125,8AP3,5,15.0,,,,,,0.04849699398797595,,3.703854467592071e-09,,,,1.1509220337408768e-08,3,4,,0,3.703854467592071e-09,0.04799999999999993
126,8AP3,10,15.0,,,,,,0.04849699398797595,,3.703854467592071e-09,,,,1.1509220337408768e-08,3,4,,0,3.703854467592071e-09,19.598000000000003
127,8AP3,40,15.0,,,,,,0.04849699398797595,,3.703854467592071e-09,,,,1.1509220337408768e-08,3,4,,0,3.703854467592071e-09,0.0040000000000000036
128,8AP4,20,15.0,,,,,,0.014428857715430862,,8.502910880690557e-10,,,,2.8637535410371795e-08,2,4,,0,8.502910880690557e-10,19.798000000000002
129,8AP4,10,15.0,,,,,,0.014428857715430862,,8.502910880690557e-10,,,,2.8637535410371795e-08,2,4,,0,8.502910880690557e-10,0.014000000000000012
130,8AP4,5,15.0,,,,,,0.014428857715430862,,8.502910880690557e-10,,,,2.8637535410371795e-08,2,4,,0,8.502910880690557e-10,19.198
131,8AP4,40,15.0,,,,,,0.014428857715430862,,8.502910880690557e-10,,,,2.8637535410371795e-08,2,4,,0,8.502910880690557e-10,-0.0020000000000000018
132,9AP1,5,15.0,,,,,,0.09939879759519038,,2.5041743759721e-09,,,,3.788129380204123e-09,3,4,,0,2.5041743759721e-09,19.198
133,9AP1,20,15.0,,,,,,0.09939879759519038,,2.5041743759721e-09,,,,3.788129380204123e-09,3,4,,0,2.5041743759721e-09,-0.010000000000000009
134,9AP1,40,15.0,,,,,,0.09939879759519038,,2.5041743759721e-09,,,,3.788129380204123e-09,3,4,,0,2.5041743759721e-09,0.0040000000000000036
135,9AP1,10,15.0,,,,,,0.09939879759519038,,2.5041743759721e-09,,,,3.788129380204123e-09,3,4,,0,2.5041743759721e-09,0.01200000000000001
136,10M1,40,15.0,,,,,,0.0468937875751503,,4.660778728966404e-10,,,,1.235702032178985e-08,4,4,,0,4.660778728966404e-10,0.013999999999999999
137,10M1,5,15.0,,,,,,0.0468937875751503,,4.660778728966404e-10,,,,1.235702032178985e-08,4,4,,0,4.660778728966404e-10,0.01200000000000001
138,10M1,10,15.0,,,,,,0.0468937875751503,,4.660778728966404e-10,,,,1.235702032178985e-08,4,4,,0,4.660778728966404e-10,0.0
139,10M1,20,15.0,,,,,,0.0468937875751503,,4.660778728966404e-10,,,,1.235702032178985e-08,4,4,,0,4.660778728966404e-10,0.0
140,10M2,10,15.0,,,,,,0.09418837675350701,,2.506850027242153e-09,,,,5.332564379455316e-09,4,4,,0,2.506850027242153e-09,0.014000000000000012
141,10M2,5,15.0,,,,,,0.09418837675350701,,2.506850027242153e-09,,,,5.332564379455316e-09,4,4,,0,2.506850027242153e-09,-0.010000000000000009
142,10M2,20,15.0,,,,,,0.09418837675350701,,2.506850027242153e-09,,,,5.332564379455316e-09,4,4,,0,2.506850027242153e-09,0.013999999999999985
143,10M2,40,15.0,,,,,,0.09418837675350701,,2.506850027242153e-09,,,,5.332564379455316e-09,4,4,,0,2.506850027242153e-09,0.0
144,13AP1,5,15.0,,,,,,0.08537074148296593,,5.094375892324226e-09,,,,7.395865028328016e-09,4,4,,0,5.094375892324226e-09,0.06799999999999995
145,13AP1,20,15.0,,,,,,0.08537074148296593,,5.094375892324226e-09,,,,7.395865028328016e-09,4,4,,0,5.094375892324226e-09,-0.006000000000000005
146,13AP1,10,15.0,,,,,,0.08537074148296593,,5.094375892324226e-09,,,,7.395865028328016e-09,4,4,,0,5.094375892324226e-09,0.019999999999999962
147,13AP1,40,15.0,,,,,,0.08537074148296593,,5.094375892324226e-09,,,,7.395865028328016e-09,4,4,,0,5.094375892324226e-09,-0.010000000000000009
148,13AP3,5,15.0,,,,,,0.05250501002004008,,1.4060142380839685e-11,,,,1.175205417418078e-08,2,4,,0,1.4060142380839685e-11,19.198
149,13AP3,40,15.0,,,,,,0.05250501002004008,,1.4060142380839685e-11,,,,1.175205417418078e-08,2,4,,0,1.4060142380839685e-11,0.018000000000000002
150,13AP3,10,15.0,,,,,,0.05250501002004008,,1.4060142380839685e-11,,,,1.175205417418078e-08,2,4,,0,1.4060142380839685e-11,19.598000000000003
151,13AP3,20,15.0,,,,,,0.05250501002004008,,1.4060142380839685e-11,,,,1.175205417418078e-08,2,4,,0,1.4060142380839685e-11,0.006000000000000005
152,14AP3,10,15.0,,,,,,0.1719438877755511,,3.9256139351218e-09,,,,4.937681911721254e-09,4,4,,0,3.9256139351218e-09,0.11599999999999999
153,14AP3,20,15.0,,,,,,0.1719438877755511,,3.9256139351218e-09,,,,4.937681911721254e-09,4,4,,0,3.9256139351218e-09,0.045999999999999985
154,14AP3,40,15.0,,,,,,0.1719438877755511,,3.9256139351218e-09,,,,4.937681911721254e-09,4,4,,0,3.9256139351218e-09,0.07599999999999998
155,14AP3,5,15.0,,,,,,0.1719438877755511,,3.9256139351218e-09,,,,4.937681911721254e-09,4,4,,0,3.9256139351218e-09,0.03399999999999992
156,16AP2,5,15.0,,,,,,0.06933867735470942,,4.133639326136861e-09,,,,6.956781343942544e-09,3,4,,0,4.133639326136861e-09,19.198
157,16AP2,40,15.0,,,,,,0.06933867735470942,,4.133639326136861e-09,,,,6.956781343942544e-09,3,4,,0,4.133639326136861e-09,-0.02600000000000001
158,16AP2,20,15.0,,,,,,0.06933867735470942,,4.133639326136861e-09,,,,6.956781343942544e-09,3,4,,0,4.133639326136861e-09,0.013999999999999985
159,16AP2,10,15.0,,,,,,0.06933867735470942,,4.133639326136861e-09,,,,6.956781343942544e-09,3,4,,0,4.133639326136861e-09,0.008000000000000007
160,18M1,20,15.0,,,,,,0.061322645290581165,,3.72875611875562e-09,,,,5.9832550247699176e-09,4,4,,0,3.72875611875562e-09,-0.036000000000000004
161,18M1,40,15.0,,,,,,0.061322645290581165,,3.72875611875562e-09,,,,5.9832550247699176e-09,4,4,,0,3.72875611875562e-09,-0.034
162,18M1,10,15.0,,,,,,0.061322645290581165,,3.72875611875562e-09,,,,5.9832550247699176e-09,4,4,,0,3.72875611875562e-09,-0.016000000000000014
163,18M1,5,15.0,,,,,,0.061322645290581165,,3.72875611875562e-09,,,,5.9832550247699176e-09,4,4,,0,3.72875611875562e-09,0.01200000000000001
164,19AP2,40,15.0,,,,,,0.19198396793587175,,2.1277197785014995e-09,,,,2.6188876515158973e-09,2,4,,0,2.1277197785014995e-09,-0.048
165,19AP2,20,15.0,,,,,,0.19198396793587175,,2.1277197785014995e-09,,,,2.6188876515158973e-09,2,4,,0,2.1277197785014995e-09,-0.008000000000000007
166,19AP2,5,15.0,,,,,,0.19198396793587175,,2.1277197785014995e-09,,,,2.6188876515158973e-09,2,4,,0,2.1277197785014995e-09,19.198
167,19AP2,10,15.0,,,,,,0.19198396793587175,,2.1277197785014995e-09,,,,2.6188876515158973e-09,2,4,,0,2.1277197785014995e-09,0.07200000000000001
168,21M1,40,15.0,,,,,,0.06533066132264528,,2.881719918285872e-09,,,,4.83326529227514e-09,4,4,,0,2.881719918285872e-09,-0.03
169,21M1,5,15.0,,,,,,0.06533066132264528,,2.881719918285872e-09,,,,4.83326529227514e-09,4,4,,0,2.881719918285872e-09,-0.07400000000000007
170,21M1,20,15.0,,,,,,0.06533066132264528,,2.881719918285872e-09,,,,4.83326529227514e-09,4,4,,0,2.881719918285872e-09,-0.032
171,21M1,10,15.0,,,,,,0.06533066132264528,,2.881719918285872e-09,,,,4.83326529227514e-09,4,4,,0,2.881719918285872e-09,-0.0040000000000000036
172,21AP1,40,15.0,,,,,,0.08817635270541083,,1.7784512626963654e-09,,,,3.030214868528956e-09,2,4,,0,1.7784512626963654e-09,-0.006000000000000005
173,21AP1,10,15.0,,,,,,0.08817635270541083,,1.7784512626963654e-09,,,,3.030214868528956e-09,2,4,,0,1.7784512626963654e-09,0.846
174,21AP1,20,15.0,,,,,,0.08817635270541083,,1.7784512626963654e-09,,,,3.030214868528956e-09,2,4,,0,1.7784512626963654e-09,0.0020000000000000018
175,21AP1,5,15.0,,,,,,0.08817635270541083,,1.7784512626963654e-09,,,,3.030214868528956e-09,2,4,,0,1.7784512626963654e-09,0.5660000000000001
