1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.01429957974041142,-0.014136771581664877,-0.014111001463861676,-0.011658575489992933,-0.01132322997244439,-0.010749224821248175,-0.009394149182090224,-0.008298697785197953,-0.006155045388203113,-0.005641046389433656,-0.00558845300054045,-0.003948178479199708,-0.0038240775625380287,-0.00363225955637388,-0.0020211326943845795,-7.832174603441284E-4,3.4354309317777103E-4,9.137024644238385E-4,0.0015447696529857745,0.002062974059344292,0.0034028178554585398,0.004578522190891422,0.004740569109694174,0.005198993793404785,0.006058544033096833,0.0063487586771824,0.00712933105902851,0.008337577494625305,0.00947023092367838,0.01004721224179118,0.010150240502897753,0.011422625791963462,0.013325369449338015,0.01374409650444712,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.867631510129631E-10,-6.048720678554003E-10,-6.09046189108151E-10,-6.098261861488014E-10,-6.664209567616221E-10,-6.743793958488876E-10,-6.880017190723086E-10,-7.184617271000715E-10,-7.330550426776396E-10,-7.671327850559706E-10,-7.734468822739094E-10,-7.740929531248014E-10,-8.011778970232599E-10,-8.031035681758396E-10,-8.04399716934189E-10,-8.182269958215049E-10,-8.288512362731843E-10,-8.328074998546705E-10,-8.418979523817105E-10,-8.306229808678603E-10,-8.263468832130888E-10,-8.152908156767577E-10,-8.041042343752E-10,-8.025623917730918E-10,-8.040577510596627E-10,-8.080390621186264E-10,-8.09383293925699E-10,-7.911521626931169E-10,-7.626703011930601E-10,-7.523411725366051E-10,-7.437226384480185E-10,-7.412610615613852E-10,-7.108609151858524E-10,-6.708506955448927E-10,-6.617636242402942E-10,-6.316214310680609E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014607001725537916,-0.01413975485679289,-0.014065171045966522,-0.01165879298006094,-0.01131157273635883,-0.010750207077519051,-0.009340929818917685,-0.008331445198943008,-0.006121576458055316,-0.0055913057615111245,-0.005542328775200641,-0.004014801806732391,-0.0038602309266869157,-0.003621155883449684,-0.0020658910954686836,-7.46753358144208E-4,3.3169018463541367E-4,9.411785228436546E-4,0.0015061012576325986,0.0019701191327215935,0.003380418629168779,0.004617435996150249,0.004787834067725719,0.005216761944664458,0.006021546374920368,0.0063207879924736254,0.007055973612307621,0.008371741852471925,0.009437165987601012,0.010068364075099302,0.010180999783355744,0.011428917821933494,0.013398748836517722,0.01365164193609654,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9321604439998913E-4,1.958362070368625E-4,1.989922023071505E-4,1.998839003515038E-4,2.2077135311346921E-4,2.230301521411794E-4,2.2668204809879255E-4,2.3280067021686033E-4,2.3657770716419818E-4,2.4784418201775904E-4,2.5009601454267934E-4,2.503039988259242E-4,2.554575206441086E-4,2.5611702302109245E-4,2.566519271573301E-4,2.599214438518483E-4,2.626945683306389E-4,2.6284309342876214E-4,2.6363380195276574E-4,2.621752920105498E-4,2.6129387864647123E-4,2.58614980073257E-4,2.532875950165464E-4,2.5255375233621403E-4,2.5157461088669227E-4,2.4987445302250354E-4,2.4924228623317594E-4,2.443589033785106E-4,2.3518732236230095E-4,2.3134467560649645E-4,2.2976494899068023E-4,2.29058732126396E-4,2.2123438603109246E-4,2.0481317874453242E-4,2.0335413712173526E-4,1.9455986416075006E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014945729407450307,-0.014143145223680972,-0.014013818704676903,-0.011659091355173132,-0.0112985670212198,-0.010751357701417174,-0.009281291808178417,-0.008368138168531478,-0.006084082250952947,-0.0055355448010248574,-0.0054906200210162685,-0.004089458004496841,-0.003900777455654602,-0.0036087233533518247,-0.002116090651792817,-7.058444950761838E-4,3.1839146485252573E-4,9.719852751713491E-4,0.0014627330175349743,0.001865951130302624,0.0033553120206561045,0.0046610631562936065,0.004840811379183168,0.005236704335198305,0.005980072811762729,0.006289446825351628,0.006973648689549361,0.008410012243119047,0.009400154504592324,0.01009208327121017,0.010215463881226561,0.01143601057793998,0.013480640022763446,0.013547921795874895,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1707007606803038E-4,2.1750660064916266E-4,2.2410888363689596E-4,2.2571472499080043E-4,2.4780683573757414E-4,2.505078600117365E-4,2.5460751575377065E-4,2.627674460413771E-4,2.661603309304745E-4,2.8068729979688703E-4,2.8366128534366183E-4,2.8390485238991383E-4,2.899411185220581E-4,2.906431875068571E-4,2.9132437456442644E-4,2.9299832729695824E-4,2.945798854425842E-4,2.9380842004165543E-4,2.9432012134014967E-4,2.9336443332653823E-4,2.9284076420690625E-4,2.90906495180864E-4,2.8473611848476226E-4,2.8388671141521223E-4,2.827067286718945E-4,2.808008371689546E-4,2.800076460096327E-4,2.7525157397894663E-4,2.643184125435873E-4,2.5983330650943237E-4,2.577274035939296E-4,2.567714864622117E-4,2.473150451519036E-4,2.2754562404104728E-4,2.2713241470982527E-4,2.1713539310174438E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
