1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014880438310183163,-0.014694500714823274,-0.013263910497118125,-0.013187712560247769,-0.011412998111743664,-0.011086126898547386,-0.010361899714410358,-0.010233781366143436,-0.010011917032193646,-0.009273709194416592,-0.007541202739857454,-0.006879475978680808,-0.005525939157385959,-0.004557688093689838,-0.0038679683860868425,-0.002782023394895968,-0.0024901751800910435,-0.001821988888669631,-7.53290874149078E-4,-5.096568747479883E-4,2.2378992302142867E-4,5.412946518591789E-4,5.46139096534011E-4,0.002120061541625376,0.0021325444061242975,0.003043092385641457,0.0030929803161602043,0.0031131035676435007,0.0032122587658338572,0.004930591629896914,0.005287093134988791,0.006078068237717761,0.007055685907553524,0.00750702637997739,0.008295731253560902,0.009649896470403166,0.01015284207551977,0.011126549410822743,0.011142629361674806,0.011749745533379149,0.015,,,,,,,,,,,,,,,,,,,,,
1.0174679902359841E-13,1.0199384257447222E-13,1.0248818501941082E-13,1.052592208417372E-13,1.0544522240096877E-13,1.078269596531561E-13,1.0826563379918193E-13,1.0897011949001098E-13,1.0912183357022653E-13,1.0944278832014855E-13,1.1051069909132203E-13,1.1624349215354784E-13,1.1990978041318596E-13,1.2087710101018822E-13,1.2361757850691142E-13,1.2492485816317454E-13,1.2495591767228506E-13,1.2606379132408862E-13,1.2734440569561457E-13,1.2939262196970922E-13,1.288149172329043E-13,1.2898973159681916E-13,1.2870630923533994E-13,1.287019848148665E-13,1.2562226778428188E-13,1.2562969056751523E-13,1.2617113682579273E-13,1.2617763000786206E-13,1.2616117318875712E-13,1.260800839492132E-13,1.2445556774358986E-13,1.240916485388699E-13,1.232842156775017E-13,1.2261780639181425E-13,1.210817732570846E-13,1.1954907676033183E-13,1.1691751665033992E-13,1.1630403089386838E-13,1.1318330724400365E-13,1.1314295430527495E-13,1.1161938486757133E-13,1.0200576447167941E-13,,,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014879313268318699,-0.014695070433386524,-0.01326327943748437,-0.013188395091851313,-0.011412944063873554,-0.011087245052761202,-0.010361627013732772,-0.01023444894333033,-0.010014218474215929,-0.009281501789562295,-0.0075383818603458365,-0.006879817633069676,-0.005524762123851203,-0.0045597048179688085,-0.0038675128024394777,-0.0027834851319046023,-0.002491045088839905,-0.0018236049727837211,-7.532826032615025E-4,-5.092778208332146E-4,2.2188313977974765E-4,5.416171906266701E-4,5.464958507332297E-4,0.0021195947936985676,0.0021320922384017553,0.003042194957982733,0.0030943098187370087,0.0031153309311967754,0.003218905850769331,0.004931234684425391,0.005286505015826358,0.006074765610027198,0.007056018353009775,0.007509017519514469,0.008300576214106715,0.00965142046028155,0.010153161095033676,0.011127269150716722,0.011143286508724218,0.011748068338158172,0.015,,,,,,,,,,,,,,,,,,,,,
1.4244062843770912E-4,1.429102833284973E-4,1.4385700881705107E-4,1.4865011966764505E-4,1.4887455810264885E-4,1.5435699247822056E-4,1.5536272196693866E-4,1.571353981692904E-4,1.574258910849519E-4,1.577237809953956E-4,1.5871487413727468E-4,1.6559202547187368E-4,1.704599132771701E-4,1.7336368255594034E-4,1.7804259071797405E-4,1.8054270577092058E-4,1.8034546067366395E-4,1.8149886459258575E-4,1.8365256977963338E-4,1.87106301108631E-4,1.8695572757662185E-4,1.8731027507074357E-4,1.866737926652621E-4,1.866640809022768E-4,1.808626532766137E-4,1.8085586638509336E-4,1.8036162387577754E-4,1.803729092013571E-4,1.803192052069828E-4,1.8005459566699356E-4,1.7665573485749865E-4,1.7594726054831426E-4,1.7437532410844472E-4,1.7291446389023393E-4,1.7064436151847037E-4,1.681224573788422E-4,1.6381867078702657E-4,1.632670048453042E-4,1.5906844292665074E-4,1.590042923597513E-4,1.5658210155958732E-4,1.4311082354140632E-4,,,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014868801760271218,-0.014700393340728991,-0.013257384938926885,-0.013194771978296953,-0.011412440235231351,-0.011097690661311391,-0.01035908031654052,-0.010240686513435723,-0.010035715976175488,-0.009354246101985536,-0.007512015477451395,-0.006883010581084313,-0.005513764059975052,-0.004578544748209647,-0.0038632566359646393,-0.002797142896080759,-0.0024991734433008235,-0.001838704649427864,-7.532054319818338E-4,-5.057362407270422E-4,2.0406658785910442E-4,5.446312101321359E-4,5.49829709803518E-4,0.0021152335308767083,0.0021278672683490187,0.0030338089940534843,0.003106732523864668,0.0031361416312155645,0.00328098832627036,0.004937243280311237,0.005281010445910731,0.0060439030701932885,0.0070591251551237535,0.007527617625644585,0.00834581704389624,0.009665657610061402,0.01015614253805442,0.011133993800514063,0.011149426552700608,0.011732395302350145,0.015,,,,,,,,,,,,,,,,,,,,,
0.00127420547124387,0.0012788020602278966,0.0012865298497428705,0.0013305200919610323,0.0013321774100407992,0.0013830962447558563,0.0013920882192260517,0.0014093704172643436,0.0014118359202896745,0.0014141949033686923,0.0014220378642330305,0.001485127993946584,0.0015261052389928574,0.0015490737568470548,0.0015887009263022111,0.0016115271670949444,0.0016081041976827486,0.0016183333560018049,0.0016367119734492102,0.0016669177531044642,0.001665507579575379,0.0016686496851871851,0.001663236106586339,0.0016631534717947692,0.001617034681494166,0.0016169235809786583,0.0016089567704472422,0.0016088217125738496,0.0016081556263311217,0.0016048749966360602,0.00157587019171263,0.0015697774661321614,0.0015562564092301404,0.0015424514768357532,0.0015225754287186834,0.0014993330624052277,0.0014618407136820777,0.001456372784989466,0.00141996147776428,0.0014194076970817121,0.0013984887561051206,0.0012817845293211015,,,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,
