1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014299579704108521,-0.014136771581319457,-0.01411100146923322,-0.01165857548997173,-0.011323229973814523,-0.010749224821137124,-0.009394149188326786,-0.008298697781362278,-0.006155045392125812,-0.005641046395261097,-0.005588453005944162,-0.0039481784713946075,-0.0038240775583044968,-0.003632259557675842,-0.0020211326891432096,-7.832174646140912E-4,3.4354309456573195E-4,9.137024612057357E-4,0.0015447696575147073,0.002062974070217983,0.0034028178580830896,0.00457852218633404,0.0047405691041580295,0.005198993791325442,0.00605854403743172,0.006348758680460594,0.007129331067618247,0.0083375774906232,0.009470230927555678,0.010047212239315397,0.01015024049929536,0.011422625791229993,0.013325369440726025,0.013744096515275417,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.6316116546591458E-12,-2.75476379538512E-12,-2.784211816189493E-12,-2.7917004846149735E-12,-3.2240111678866187E-12,-3.290376959900509E-12,-3.4039741447205687E-12,-3.669972161050962E-12,-3.777061699179733E-12,-4.056908747226651E-12,-4.1005306668295E-12,-4.104994147525803E-12,-4.317796118812591E-12,-4.334441172932757E-12,-4.345835129269716E-12,-4.481219819877591E-12,-4.585243142276961E-12,-4.617143482019003E-12,-4.71695311987642E-12,-4.622029535821666E-12,-4.594454953059776E-12,-4.523159470985898E-12,-4.408798435114365E-12,-4.393036093395586E-12,-4.403972842133368E-12,-4.466737034716441E-12,-4.4879284517720545E-12,-4.31467617081513E-12,-4.050261758152537E-12,-4.029551608573008E-12,-3.97787920267914E-12,-3.9595081176963535E-12,-3.732627664376788E-12,-3.4202776561047285E-12,-3.3604364633453125E-12,-3.144105873427318E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014557664820478045,-0.014139266719081662,-0.014072571365381837,-0.011658751680781163,-0.01131344995237884,-0.010750042376563755,-0.00934952686933983,-0.008326151142732378,-0.006126982626586876,-0.005599343771520078,-0.005549782412604429,-0.004004033192381925,-0.0038543848720705987,-0.0036229488647271154,-0.0020586539498529052,-7.526488920073064E-4,3.3360683927425097E-4,9.367366178768301E-4,0.001512352414714816,0.001985132190950714,0.0033840382377115057,0.004611144656842071,0.004780193372807724,0.005213887286734886,0.006027524900616383,0.006325306364171859,0.007067833508014987,0.008366219634740525,0.009442504138536739,0.010064942560470018,0.010176027054039416,0.01142789594902633,0.013386909809488493,0.013666581649922283,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6715185860539427E-4,3.726395189254149E-4,3.7786912925166885E-4,3.794620428864855E-4,4.197209322534954E-4,4.2397900937863844E-4,4.309266517255524E-4,4.4359457166913603E-4,4.513013253623637E-4,4.70101075138335E-4,4.731592136545611E-4,4.7344646600370294E-4,4.835184913651629E-4,4.848893963301179E-4,4.859342503377351E-4,4.93565950536864E-4,4.999375362047908E-4,5.002633045713056E-4,5.03855090341044E-4,5.004894773983312E-4,4.986506596060853E-4,4.932097895482665E-4,4.8127874505908086E-4,4.796350997161977E-4,4.7793849738240427E-4,4.755592003752889E-4,4.746884066301081E-4,4.6482006850866484E-4,4.467259507685829E-4,4.3920017538250317E-4,4.363705988862229E-4,4.351258867816153E-4,4.210985791268482E-4,3.90693975348334E-4,3.8753027083215984E-4,3.7046049476124903E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.014889608360089655,-0.014142575216212499,-0.014022390098665256,-0.011659036946452025,-0.011300733804412322,-0.010751161616865783,-0.00929124990935844,-0.008362010676517519,-0.006090342907726786,-0.005544858711144112,-0.00549925715848878,-0.004076989199510954,-0.0038940028175362233,-0.003610798652972423,-0.0021077030966404828,-7.126806876893276E-4,3.206139294006285E-4,9.668386135542016E-4,0.0014699792989369062,0.0018833580304979634,0.0033595056243723893,0.004653775180899024,0.004831962623680346,0.005233371200331054,0.0059869996483018426,0.00629468050134141,0.00698740531943761,0.008403622390705336,0.00940633130156173,0.01008812141290736,0.010209709527365055,0.011434822942112222,0.01346699377875838,0.013565244850584274,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.013372569431481E-4,4.0282648993249096E-4,4.130729403948601E-4,4.162589756192414E-4,4.598611037474194E-4,4.6504353772541525E-4,4.729924537240004E-4,4.896410782459212E-4,4.97910150085612E-4,5.186449757882653E-4,5.215774699210253E-4,5.218226214514349E-4,5.317127612505827E-4,5.334847055282839E-4,5.349437354011299E-4,5.424628940682906E-4,5.494414223414673E-4,5.497055069934554E-4,5.535982697989761E-4,5.508091313208656E-4,5.492823781475031E-4,5.438304454493974E-4,5.306548852369807E-4,5.288409513700958E-4,5.269625396075001E-4,5.24422378793726E-4,5.233853175626323E-4,5.136973213580753E-4,4.924447170172919E-4,4.8413384727473093E-4,4.7989343846984264E-4,4.783878414854051E-4,4.632175506139311E-4,4.281240523963303E-4,4.268594682230783E-4,4.06367312451751E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
