1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,,
-0.015,-0.01488043830227566,-0.014694500718827455,-0.013263910492682489,-0.013187712565044866,-0.011412998111363615,-0.011086126906406375,-0.0103618997124935,-0.010233781370835405,-0.010011917048369666,-0.009273709249191473,-0.007541202720031592,-0.006879475981082003,-0.0055259391491131946,-0.004557688107864524,-0.0038679683828847095,-0.0027820234051697083,-0.002490175186205118,-0.0018219889000282187,-7.532908740909283E-4,-5.096568720838086E-4,2.237899096197097E-4,5.412946541260982E-4,5.461390990414046E-4,0.002120061538344851,0.002132544402946246,0.003043092379333947,0.003092980325504511,0.003113103583298478,0.0032122588125544603,0.004930591634416542,0.005287093130855125,0.006078068214505596,0.007055685909890006,0.007507026393972296,0.008295731287615574,0.009649896481114587,0.010152842077761872,0.011126549415881357,0.011142629366293476,0.011749745521591057,0.015,,,,,,,,,,,,,,,,,,,,,,
1.0334543590612738E-10,1.0372001976808559E-10,1.0462920148803163E-10,1.0687548721271249E-10,1.0680314622172695E-10,1.1555596383912607E-10,1.1716807897992273E-10,1.1965239545739651E-10,1.1974563414016495E-10,1.1942667539039194E-10,1.1836540589883173E-10,1.2032485188384297E-10,1.2330062206952883E-10,1.213148672516021E-10,1.2327736046415724E-10,1.235441681830266E-10,1.210153251131178E-10,1.2089985545070687E-10,1.1933085659615064E-10,1.1682139776221363E-10,1.1459913975981033E-10,1.1482795948856924E-10,1.1563953031421885E-10,1.1565191315330315E-10,1.1317674300809161E-10,1.1307720493106483E-10,1.0581651617856952E-10,1.0569260701422395E-10,1.0563556653422299E-10,1.0535450558826315E-10,1.0192197978202678E-10,1.0122132778415818E-10,9.96667809501045E-11,9.719838277411992E-11,9.640338105802322E-11,9.38770327015104E-11,8.953942425173907E-11,9.279584419052041E-11,9.369527559914262E-11,9.364003852561161E-11,9.155450226134787E-11,8.674292827840822E-11,,,,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,
-0.015,-0.014918950796528042,-0.014814665254935142,-0.014727793469593459,-0.013239569696705384,-0.013227600143682771,-0.013227336670765765,-0.013224110465712398,-0.011409876269995258,-0.01115143452773051,-0.010345995163944828,-0.010272809771577143,-0.01014626140354772,-0.009727033546479968,-0.0073759396839562725,-0.006899471938477649,-0.005457101518144408,-0.004675478768559548,-0.003841349926831654,-0.0028674859283913945,-0.0025410479636885606,-0.0019164676872024736,-7.528102949762513E-4,-4.874982544199949E-4,1.1228780763072183E-4,5.601645696418061E-4,5.67014420379694E-4,0.002092764529721604,0.0021061016942846428,0.0029905911672562825,0.0031707286294525537,0.0032433065574875818,0.003600040754181598,0.004968193483417108,0.005252722046484158,0.005884813658155592,0.007075140359225216,0.007623296464575033,0.008578022401832301,0.009738916095862894,0.010171513439098053,0.011168615921228413,0.011181044415939718,0.01165160612515842,0.015,,,,,,,,,,,,,,,,,,,
6.484935121962268E-4,6.502096988765632E-4,6.5228646653468E-4,6.543580645797744E-4,6.788140302246806E-4,6.790136791684745E-4,6.790200934106546E-4,6.790771294700722E-4,7.124523361668137E-4,7.172067094376485E-4,7.30370014927645E-4,7.312175124615636E-4,7.320550114404085E-4,7.348294676239602E-4,7.688031760929774E-4,7.807357469945781E-4,7.985684054534464E-4,8.133119858162276E-4,8.257799629687471E-4,8.251030748638803E-4,8.275736319124592E-4,8.326527645884225E-4,8.421157119580301E-4,8.42985775050257E-4,8.434760189682537E-4,8.417951306134179E-4,8.417694230185742E-4,8.274495284648633E-4,8.273033848274973E-4,8.17611481561172E-4,8.169014293688134E-4,8.159947895205488E-4,8.115384837714324E-4,7.99020328447668E-4,7.966787010307119E-4,7.91476681831082E-4,7.824712233323815E-4,7.726444841768898E-4,7.592000561774194E-4,7.428523787179896E-4,7.400102981706203E-4,7.223952249294369E-4,7.221648226655823E-4,7.134414425937664E-4,6.483281122068223E-4,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,,,,
-0.015,-0.014786576636877508,-0.014767329346944715,-0.014746116855021293,-0.014730034453366054,-0.013270592880978859,-0.013229061102619392,-0.01271577921599058,-0.01140654814559453,-0.011221792420672234,-0.010328856813050106,-0.010314921164289004,-0.010290863147315983,-0.010211538292836704,-0.00719660588108005,-0.006921085995533895,-0.005382664567009697,-0.004802413020656451,-0.003812618868958853,-0.002959786824899068,-0.0025960169191468676,-0.0020184938220896825,-7.522935458597283E-4,-4.635676800932038E-4,-8.199844095106712E-6,5.805711250533498E-4,5.895975582704566E-4,0.00206325194746727,0.0020775150722323957,0.0029337920391824604,0.003254737145047891,0.0033838841199285985,0.004016974095448076,0.005008798380179012,0.005215598578053076,0.005675648061787941,0.0070961627672001155,0.007748532447677113,0.008880708726939995,0.00983485106664634,0.010191683874518492,0.011213979242161266,0.011222481539146255,0.011545351774912359,0.015,,,,,,,,,,,,,,,,,,,
6.987299630842537E-4,7.037184755414682E-4,7.041683576171351E-4,7.046979575237172E-4,7.049435520204001E-4,7.31442040758086E-4,7.324825570392744E-4,7.42335377864557E-4,7.681382089476435E-4,7.71779446059715E-4,7.88232227821263E-4,7.883941031324474E-4,7.886132885905736E-4,7.893359938155857E-4,8.371929262778824E-4,8.439593656316528E-4,8.638957269670872E-4,8.748630008541554E-4,8.899001626758001E-4,8.894421519981267E-4,8.921181292364316E-4,8.95772784671458E-4,9.037854957559767E-4,9.036643164000457E-4,9.040716824975948E-4,9.039918221807005E-4,9.039905978441506E-4,8.953001616077799E-4,8.950959173697826E-4,8.82834253848678E-4,8.80809876418119E-4,8.792343036802588E-4,8.715107057642988E-4,8.625189151658082E-4,8.608172845288625E-4,8.57031822502801E-4,8.454114256046106E-4,8.335332378768268E-4,8.157363574020964E-4,8.007380241154381E-4,7.979820927007679E-4,7.790786220023269E-4,7.789047143433047E-4,7.723006628770755E-4,6.972454402076317E-4,,,,,,,,,,,,,,,,,,,
0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,,,,,,,,,,,,,,,,
